month,country_or_territory,currency,code,rate
2021-03,Sierra Leone,Leone,SLL,14351.7700
2021-03,Singapore,Dollar,SGD,1.8590
2021-03,Soloman Islands,Dollar,SBD,11.2700
2021-03,Somali Republic,Schilling,SOS,820.5800
2021-03,South Africa,Rand,ZAR,20.7000
2021-03,South Korea,Won,KRW,1560.3000
2021-03,Sri Lanka,Rupee,LKR,271.8800
2021-03,St Christopher & Anguilla,E Caribbean Dollar,XCD,3.7938
2021-03,St Lucia,E Caribbean Dollar,XCD,3.7938
2021-03,St Vincent,E Caribbean Dollar,XCD,3.7938
2021-03,Sudan Republic,Pound,SDG,77.6300
2021-03,Surinam,Dollar,SRD,19.8800
2021-03,Swaziland,Lilangeni,SZL,20.7000
2021-03,Sweden,Krona,SEK,11.6200
2021-03,Switzerland,Franc,CHF,1.2603
2021-03,Taiwan,Dollar,TWD,39.2100
2021-03,Tanzania,Schilling,TZS,3258.4400
2021-03,Thailand,Baht,THB,42.2100
2021-03,Togo Republic,CFA Franc,XOF,759.3700
2021-03,Tonga Islands,Pa'anga (AUS),TOP,1.7778
2021-03,Trinidad/Tobago,Dollar,TTD,9.4952
2021-03,Tunisia,Dinar,TND,3.8101
2021-03,Turkey,Turkish  Lira,TRY,9.9007
2021-03,Turkmenistan,New Manat,TMT,4.9179
2021-03,UAE,Dirham,AED,5.1612
2021-03,USA,Dollar,USD,1.4051
2021-03,Uganda,Schilling,UGX,5156.7400
2021-03,Ukraine,Hryvnia,UAH,39.1800
2021-03,Uruguay,Peso,UYU,60.5200
2021-03,Uzbekistan,Sum,UZS,14823.3700
2021-03,Vanuatu,Vatu,VUV,152.2900
2021-03,Vietnam,Dong,VND,32349.0500
2021-03,Wallis & Futuna Islands,CFP Franc,XPF,138.1400
2021-03,Western Samoa,Tala,WST,3.5172
2021-03,Yemen (Rep of),Rial,YER,354.8400
2021-03,Zambia,Kwacha,ZMW,30.4800
2021-03,Zimbabwe,Dollar,ZWL,508.5000
2021-04,Abu Dhabi,Dirham,AED,5.0399
2021-04,Albania,Lek,ALL,142.8600
2021-04,Algeria,Dinar,DZD,183.6800
2021-04,Angola,Readj Kwanza,AOA,859.1600
2021-04,Antigua,E Caribbean Dollar,XCD,3.7047
2021-04,Argentina,Peso,ARS,125.4800
2021-04,Armenia,Dram,AMD,724.9000
2021-04,Aruba,Florin,AWG,2.4561
2021-04,Australia,Dollar,AUD,1.8001
2021-04,Azerbaijan,New Manat,AZN,2.3312
2021-04,Bahamas,Dollar,BSD,1.3721
2021-04,Bahrain,Dinar,BHD,0.5174
2021-04,Bangladesh,Taka,BDT,116.1400
2021-04,Barbados,Dollar,BBD,2.7442
2021-04,Belarus,Rouble,BYN,3.6159
2021-04,Belize,Dollar,BZD,2.7442
2021-04,Benin,CFA Franc,XOF,760.7700
2021-04,Bermuda,Dollar (US),BMD,1.3721
2021-04,Bhutan,Ngultrum,BTN,99.5600
2021-04,Bolivia,Boliviano,BOB,9.4812
2021-04,Bosnia- Herzegovinia,Marka,BAM,2.2684
2021-04,Botswana,Pula,BWP,15.1100
